Maturity,Strike Price,Option Price,Volatility
31-Jan-2019,240,2.15,-3.596300634145896e+156
31-Jan-2019,470,122.25,1.298473439442724e+219
31-Jan-2019,260,4.45,2.793909544481863e+180
31-Jan-2019,270,6.1,1.9341601455079292e+183
31-Jan-2019,280,0.2,6.0163744061319e+158
31-Jan-2019,290,10.6,-6.20973477151743e+164
31-Jan-2019,300,0.5,1.0905657533889752e+156
31-Jan-2019,310,1.3,4.1401486868411704e+157
31-Jan-2019,320,1.85,-1.3815486044782425e+159
31-Jan-2019,330,3.25,-1.2653941298600402e+179
31-Jan-2019,340,5.7,1.0265850734372325e+167
31-Jan-2019,350,9.4,4.192514556847916e+175
31-Jan-2019,360,14.65,1.938278280310295e+165
31-Jan-2019,370,22.0,-7.671179037450694e+185
31-Jan-2019,380,53.8,1.310384890974452e+188
31-Jan-2019,390,60.75,7.326039112725198e+188
31-Jan-2019,400,45.6,6.45155259685985e+188
31-Jan-2019,410,65.0,1.1211785465750307e+190
31-Jan-2019,420,83.5,6.9199361049883906e+190
31-Jan-2019,430,84.0,2.484212783949867e+191
31-Jan-2019,440,99.95,9.180434605958583e+191
31-Jan-2019,450,108.5,2.9764992924676887e+192
31-Jan-2019,460,117.2,9.00081202030092e+192
31-Jan-2019,250,3.15,2.0489985152168756e+177
28-Feb-2019,240,0.6,3.882510003473022e+164
28-Feb-2019,250,1.05,1.7334684078883353e+169
28-Feb-2019,260,1.7,2.008817736890406e+173
28-Feb-2019,270,2.7,1.625496087313189e+177
28-Feb-2019,280,4.0,3.916125549271704e+180
28-Feb-2019,290,5.8,1.3306806870824205e+164
28-Feb-2019,300,8.1,5.1339688910083254e+172
28-Feb-2019,310,10.9,-4.619864114695735e+165
28-Feb-2019,320,14.3,-7.698537923124165e+181
28-Feb-2019,330,18.35,-1.636652514989567e+183
28-Feb-2019,340,10.0,2.182684549130192e+175
28-Feb-2019,350,28.25,-3.623595037233982e+185
28-Feb-2019,360,34.05,-3.9616259113815356e+186
28-Feb-2019,370,40.4,8.151227735485727e+186
28-Feb-2019,380,47.3,6.257069372991156e+187
28-Feb-2019,390,54.6,4.103601148785081e+188
28-Feb-2019,400,62.3,2.341366067186593e+189
28-Feb-2019,410,70.4,1.1770757867402349e+190
28-Feb-2019,420,78.75,5.24543287693169e+190
28-Feb-2019,430,87.4,2.0991135417202733e+191
28-Feb-2019,440,96.25,7.605143355444435e+191
28-Feb-2019,450,105.3,2.5169924817130123e+192
28-Feb-2019,460,114.5,7.67225250094414e+192
28-Feb-2019,470,123.85,1.4232087519047747e+219
28-Mar-2019,240,0.15,7.834472310858353e+154
28-Mar-2019,470,106.95,6.70339303557877e+217
28-Mar-2019,260,0.5,1.9188914175617052e+164
28-Mar-2019,270,0.9,1.1814743815559116e+169
28-Mar-2019,280,1.55,3.46237120694938e+173
28-Mar-2019,290,2.45,-7.149832965081281e+167
28-Mar-2019,300,3.75,-2.2740367364591017e+157
28-Mar-2019,310,5.45,7.462202447741482e+156
28-Mar-2019,320,7.7,3.110837121502485e+173
28-Mar-2019,330,10.5,9.655562408738516e+174
28-Mar-2019,340,13.95,4.1802897622515334e+169
28-Mar-2019,350,18.05,-1.4031782307606427e+184
28-Mar-2019,360,22.75,-2.3562349891054687e+185
28-Mar-2019,370,28.1,-3.2071325265722636e+186
28-Mar-2019,380,34.05,8.236712805410319e+186
28-Mar-2019,390,40.6,7.55569178350798e+187
28-Mar-2019,400,47.65,5.847633372086317e+188
28-Mar-2019,410,55.15,3.8739686905788845e+189
28-Mar-2019,420,63.05,2.2255537959337402e+190
28-Mar-2019,430,71.35,1.1244735862883888e+191
28-Mar-2019,440,79.9,5.023089396447981e+191
28-Mar-2019,450,88.7,2.0105934699060573e+192
28-Mar-2019,460,97.75,7.283522865737791e+192
28-Mar-2019,250,0.3,1.1763341318136629e+160
